0	0	0	0	0	0	0	1	0	0	0	0	0	6	31	19	0	0	18	32	72	11	14	1
0	49	6	8	9	3	7	14	6	9	7	2	0	27	81	53	22	56	29	39	15	15	29	1
0	67	3	13	28	42	13	13	14	11	5	15	0	26	11	6	14	5	3	37	28	4	19	7
0	16	34	15	0	36	12	7	2	3	10	1	0	1	6	20	6	0	6	3	0	2	3	6
0	0	0	0	91	21	64	8	14	0	8	5	0	0	11	0	10	0	11	33	0	0	2	1
0	19	16	12	6	0	5	8	1	8	21	5	0	11	0	4	24	0	0	21	0	18	17	1
0	19	1	23	1	1	0	7	0	0	0	0	0	1	0	37	18	0	15	6	0	10	13	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	1	0	14	130	6	0	0	0	30	13	7	12	4	1	20	7	1
0	1	1	1	0	0	8	1	0	2	1	0	0	0	0	86	21	24	42	17	3	3	12	2
0	10	6	0	7	0	17	14	2	0	2	0	0	1	0	43	5	0	37	0	0	0	2	1
0	5	0	1	18	16	3	6	2	1	18	0	0	1	0	7	2	17	0	11	35	0	0	3
0	6	1	0	0	30	72	44	7	1	6	4	0	2	3	5	13	7	3	8	0	2	6	1
0	1	56	0	9	1	1	8	15	1	1	1	0	0	2	7	35	0	3	2	9	0	0	1
0	1	0	6	16	4	1	7	6	7	5	3	0	0	0	17	7	0	13	3	17	0	0	9
0	0	2	0	0	62	53	17	3	13	1	1	0	9	3	19	1	3	8	0	1	2	1	1
0	25	0	0	1	55	1	21	0	2	4	17	0	1	14	2	8	0	0	23	9	2	1	1
0	0	2	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	30	34	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1	0	0	0	0	0	0	7	9	0	0	12	5	1	8	1	17	8	0	1	72
